timestep,seed_ratio,claim_step,replicate,support_ratio
11,0.15,-1,10,0.3243849943420881
12,0.15,-1,10,0.34467039720703696
1,0.15,-1,11,0.09609861739339884
2,0.15,-1,11,0.11171807196844007
3,0.15,-1,11,0.12670513206800255
4,0.15,-1,11,0.14724533109669502
5,0.15,-1,11,0.18209144305439093
6,0.15,-1,11,0.2185051397675227
7,0.15,-1,11,0.2434411142740179
8,0.15,-1,11,0.26903753865159613
9,0.15,-1,11,0.30955882091700576
10,0.15,-1,11,0.359073001647022
11,0.15,-1,11,0.3993244296123839
12,0.15,-1,11,0.42505105960569195
1,0.15,-1,12,0.06107893332769626
2,0.15,-1,12,0.07608879109418909
3,0.15,-1,12,0.10745132135600907
4,0.15,-1,12,0.12874546863710182
5,0.15,-1,12,0.16094147736758446
6,0.15,-1,12,0.18317745242499128
7,0.15,-1,12,0.1897103236307033
8,0.15,-1,12,0.2157894081851781
9,0.15,-1,12,0.24861768530113404
10,0.15,-1,12,0.28240138584452895
11,0.15,-1,12,0.31532742979210854
12,0.15,-1,12,0.3296497266685313
1,0.15,-1,13,0.07648964478623384
2,0.15,-1,13,0.09507386068396811
3,0.15,-1,13,0.10632276127362345
4,0.15,-1,13,0.12253276657015388
5,0.15,-1,13,0.15805119338490736
6,0.15,-1,13,0.19677768911692803
7,0.15,-1,13,0.22562773159687205
8,0.15,-1,13,0.2490304480750699
9,0.15,-1,13,0.2829864168797298
10,0.15,-1,13,0.32292070565653774
11,0.15,-1,13,0.36588932746964287
12,0.15,-1,13,0.3895399068732699
1,0.15,-1,14,0.0905191767390566
2,0.15,-1,14,0.11240166745839363
3,0.15,-1,14,0.12739321004679202
4,0.15,-1,14,0.1388407000117612
5,0.15,-1,14,0.16092990472240154
6,0.15,-1,14,0.17935560995458957
7,0.15,-1,14,0.2117745362720025
8,0.15,-1,14,0.234493249703814
9,0.15,-1,14,0.2556092219539272
10,0.15,-1,14,0.29935829476871806
11,0.15,-1,14,0.3421919978081937
12,0.15,-1,14,0.37672373731434916
1,0.15,-1,15,0.07315495916785318
2,0.15,-1,15,0.08686541336169229
3,0.15,-1,15,0.11891969147946696
4,0.15,-1,15,0.14323237669457065
5,0.15,-1,15,0.16859038475373114
6,0.15,-1,15,0.21144957737356823
7,0.15,-1,15,0.24554721400852136
8,0.15,-1,15,0.27314135035194076
9,0.15,-1,15,0.31015221743511523
10,0.15,-1,15,0.3664202406367071
11,0.15,-1,15,0.3879427272614577
12,0.15,-1,15,0.40549649876431393
1,0.15,-1,16,0.06716768733258147
2,0.15,-1,16,0.07149732623342338
3,0.15,-1,16,0.08751157935574093
4,0.15,-1,16,0.11643598773094206
5,0.15,-1,16,0.1362155909776572
6,0.15,-1,16,0.1562010835148667
7,0.15,-1,16,0.1853858640558002
8,0.15,-1,16,0.20394971448721552
9,0.15,-1,16,0.2345098702712119
10,0.15,-1,16,0.27487376865623814
11,0.15,-1,16,0.3165522677387962
12,0.15,-1,16,0.3610800305488141
1,0.15,-1,17,0.0765064392895692
2,0.15,-1,17,0.07724448219695376
3,0.15,-1,17,0.08812520703227872
4,0.15,-1,17,0.11465209009584787
5,0.15,-1,17,0.13204809058669423
6,0.15,-1,17,0.1387042492037395
7,0.15,-1,17,0.1525755349098148
8,0.15,-1,17,0.16687189484306164
9,0.15,-1,17,0.19406709521999624
10,0.15,-1,17,0.22917883852803297
11,0.15,-1,17,0.26749374713302165
12,0.15,-1,17,0.31571327714668834
1,0.15,-1,18,0.07778176626889348
2,0.15,-1,18,0.09051920354182559
3,0.15,-1,18,0.09754156466226861
4,0.15,-1,18,0.11926908812100916
5,0.15,-1,18,0.1462307972702468
6,0.15,-1,18,0.16835744889801366
7,0.15,-1,18,0.186222420049782
8,0.15,-1,18,0.22395693123468788
9,0.15,-1,18,0.2363811364862256
10,0.15,-1,18,0.26122008993354967
11,0.15,-1,18,0.27377863479045106
12,0.15,-1,18,0.2963137775726381
1,0.15,-1,19,0.07997665260621924
2,0.15,-1,19,0.10508153901736417
3,0.15,-1,19,0.11266362801771494
4,0.15,-1,19,0.12810011643293986
5,0.15,-1,19,0.159114464948916
6,0.15,-1,19,0.1781242531487218
7,0.15,-1,19,0.20412387029536655
8,0.15,-1,19,0.22690549973632654
9,0.15,-1,19,0.25663764493266195
10,0.15,-1,19,0.2894206560380484
11,0.15,-1,19,0.34782853022849974
12,0.15,-1,19,0.38407887481919195
1,0.15,-1,20,0.07944283067309989
2,0.15,-1,20,0.0989511114062154
3,0.15,-1,20,0.1258319537463772
4,0.15,-1,20,0.14536190377579625
5,0.15,-1,20,0.1584387994510663
6,0.15,-1,20,0.17486257117831444
7,0.15,-1,20,0.18862160096374153
8,0.15,-1,20,0.22091278954226912
9,0.15,-1,20,0.25200882555773113
10,0.15,-1,20,0.2735309901112714
11,0.15,-1,20,0.30884734742765624
12,0.15,-1,20,0.3513014493104121
1,0.15,-1,21,0.06807169144728827
2,0.15,-1,21,0.07392779311668554
3,0.15,-1,21,0.07415152891821922
4,0.15,-1,21,0.09496834436791271
5,0.15,-1,21,0.11262953083599876
6,0.15,-1,21,0.10304749701740769
7,0.15,-1,21,0.10609142130632768
8,0.15,-1,21,0.12744075045942588
9,0.15,-1,21,0.14555656046241075
10,0.15,-1,21,0.16505575203144113
11,0.15,-1,21,0.19570616303943886
12,0.15,-1,21,0.21664812537112232
1,0.15,-1,22,0.07547803139918544
2,0.15,-1,22,0.07477227313230692
3,0.15,-1,22,0.08898421332677588
4,0.15,-1,22,0.10878516233915564
5,0.15,-1,22,0.11804889001238875
6,0.15,-1,22,0.14568127872851672
7,0.15,-1,22,0.19301805924817836
8,0.15,-1,22,0.23445366486925318
9,0.15,-1,22,0.27405566307410284
10,0.15,-1,22,0.3048114411094929
11,0.15,-1,22,0.3453267136051977
12,0.15,-1,22,0.37662112760726807
1,0.15,-1,23,0.07070679131185868
2,0.15,-1,23,0.08948355179204386
3,0.15,-1,23,0.10100420489723665
4,0.15,-1,23,0.11829289396638619
5,0.15,-1,23,0.15058911717432116
6,0.15,-1,23,0.20090547916832116
7,0.15,-1,23,0.22389656169821012
8,0.15,-1,23,0.2545091620461642
9,0.15,-1,23,0.2934401610732257
10,0.15,-1,23,0.3358754532014613
11,0.15,-1,23,0.375839330167576
12,0.15,-1,23,0.40474781569273266
1,0.15,-1,24,0.08146671725492362
2,0.15,-1,24,0.09832836598058947
3,0.15,-1,24,0.1218714101517491
4,0.15,-1,24,0.14773333290447047
5,0.15,-1,24,0.1655695517912381
6,0.15,-1,24,0.19482508688507783
7,0.15,-1,24,0.20718503026735516
8,0.15,-1,24,0.24675687340672603
9,0.15,-1,24,0.2784886888245242
10,0.15,-1,24,0.32131003204278924
11,0.15,-1,24,0.34355250018629463
12,0.15,-1,24,0.39824341803291174
1,0.15,-1,25,0.0646244270749435
2,0.15,-1,25,0.09008987276886336
3,0.15,-1,25,0.10619382278437928
4,0.15,-1,25,0.14425764027938007
5,0.15,-1,25,0.16660759935902514
6,0.15,-1,25,0.1907045595154727
7,0.15,-1,25,0.24265896512412138
8,0.15,-1,25,0.270353717313643
9,0.15,-1,25,0.30360788340157135
10,0.15,-1,25,0.32832683474253554
11,0.15,-1,25,0.3640733930946427
12,0.15,-1,25,0.3856804005929543
1,0.15,-1,26,0.06624630598841419
2,0.15,-1,26,0.08275330366306904
